Vitenskapelig navn;Norsk navn;Artsgruppe;Norge/Svalbard;Definisjonsavgrensning;Risiko;TaxonId
Acer pseudoplatanus;platanlønn;Karplanter;N;Fremmed art;SE - Svært høy risiko;63520
Achillea nobilis;engryllik;Karplanter;N;Fremmed art;SE - Svært høy risiko;60355
Allium schoenoprasum schoenoprasum;matgrasløk;Karplanter;N;Fremmed art;SE - Svært høy risiko;59373
Amelanchier alnifolia;taggblåhegg;Karplanter;N;Fremmed art;SE - Svært høy risiko;63210
Amelanchier lamarckii;kanadablåhegg;Karplanter;N;Fremmed art;SE - Svært høy risiko;63212
Amelanchier spicata;blåhegg;Karplanter;N;Fremmed art;SE - Svært høy risiko;63214
Angiostrongylus vasorum;;Rundormer;N;Dørstokkart;SE - Svært høy risiko;85782
Anguillicoloides crassus;;Rundormer;N;Fremmed art;SE - Svært høy risiko;85418
Arabis caucasica;hageskrinneblom;Karplanter;N;Fremmed art;SE - Svært høy risiko;61047
Arctium tomentosum;ullborre;Karplanter;N;Fremmed art;SE - Svært høy risiko;60383
Arion vulgaris;brunskogsnegl;Bløtdyr;N;Fremmed art;SE - Svært høy risiko;79844
Barbarea vulgaris;vinterkarse;Karplanter;N;Fremmed art;SE - Svært høy risiko;61063
Berberis thunbergii;høstberberis;Karplanter;N;Fremmed art;SE - Svært høy risiko;62955
Branta canadensis;kanadagås;Fugler;N;Fremmed art;SE - Svært høy risiko;3457
Bursaphelenchus xylophilus;furuvednematode;Rundormer;N;Dørstokkart;SE - Svært høy risiko;85358
Calystegia sepium spectabilis;prydstrandvindel;Karplanter;N;Fremmed art;SE - Svært høy risiko;63649
Campanula latifolia macrantha;prydstorklokke;Karplanter;N;Fremmed art;SE - Svært høy risiko;60896
Caprella mutica;;Krepsdyr;N;Fremmed art;SE - Svært høy risiko;1784
Cerastium tomentosum;filtarve;Karplanter;N;Fremmed art;SE - Svært høy risiko;61439
Cercopagis pengoi;;Krepsdyr;N;Dørstokkart;SE - Svært høy risiko;85545
Chionoecetes opilio;snøkrabbe;Krepsdyr;N;Fremmed art;SE - Svært høy risiko;14395
Clematis alpina;alperanke;Karplanter;N;Fremmed art;SE - Svært høy risiko;63061
Corydalis solida;hagelerkespore;Karplanter;N;Fremmed art;SE - Svært høy risiko;62977
