Vitenskapelig navn;Norsk navn;Artsgruppe;Norge/Svalbard;Definisjonsavgrensning;Risiko;TaxonId
Abies alba;edelgran;Karplanter;N;Fremmed art;HI - Høy risiko;63753
Acartia tonsa;;Krepsdyr;N;Fremmed art;HI - Høy risiko;85402
Agaricus subperonatus;hagesjampinjong;Sopper;N;Fremmed art;HI - Høy risiko;34779
Agrilus anxius;amerikansk bjørkepraktbille;Biller;N;Dørstokkart;HI - Høy risiko;84372
Agrilus planipennis;asiatisk askepraktbille;Biller;N;Dørstokkart;HI - Høy risiko;79367
Alchemilla mollis;praktmarikåpe;Karplanter;N;Fremmed art;HI - Høy risiko;63193
Alopochen aegyptiaca;niland;Fugler;N;Fremmed art;HI - Høy risiko;3413
Amphibalanus amphitrite;;Krepsdyr;N;Dørstokkart;HI - Høy risiko;86686
Amphibalanus improvisus;brakkvannsrur;Krepsdyr;N;Fremmed art;HI - Høy risiko;86687
Anthriscus sylvestris;hundekjeks;Karplanter (Svalbard);S;Fremmed art;HI - Høy risiko;60232
Anthyllis vulneraria carpatica;fôrrundbelg;Karplanter;N;Fremmed art;HI - Høy risiko;61852
Aphidoletes abietis;;Tovinger;N;Dørstokkart;HI - Høy risiko;84627
Arion rufus;rødskogsnegl;Bløtdyr;N;Fremmed art;HI - Høy risiko;79721
Aronia ×prunifolia;purpursurbær;Karplanter;N;Fremmed art;HI - Høy risiko;63221
Aruncus dioicus;skogskjegg;Karplanter;N;Fremmed art;HI - Høy risiko;63223
Bemisia tabaci;bomullsmellus;Nebbmunner;N;Fremmed art;HI - Høy risiko;85516
Bergenia cordifolia;hjertebergblom;Karplanter;N;Fremmed art;HI - Høy risiko;63589
Bonnemaisonia hamifera;krokbærer ;Alger;N;Fremmed art;HI - Høy risiko;66319
Bromopsis inermis;bladfaks;Karplanter;N;Fremmed art;HI - Høy risiko;59895
Bunias orientalis;russekål;Karplanter;N;Fremmed art;HI - Høy risiko;61090
Camelostrongylus mentulatus;;Rundormer;N;Fremmed art;HI - Høy risiko;85780
Campanula glomerata 'Superba';prakttoppklokke;Karplanter;N;Fremmed art;HI - Høy risiko;79967
Campylopus introflexus;ribbesåtemose;Moser;N;Fremmed art;HI - Høy risiko;64203
Caragana arborescens;sibirertebusk;Karplanter;N;Fremmed art;HI - Høy risiko;61867
